_step,critic/scores/codegen__taco/min,response_length/codegen__livecodebench/clip_ratio,critic/scores/codegen__leetcode2k/mean,response_length/codegen__primeintellect/mean,critic/rewards/max,response_length/codegen__livecodebench/min,response_length/codegen__taco/clip_ratio,response_length/codegen__taco/mean,response_length/codegen__livecodebench/max,response_length/codegen__leetcode2k/max,critic/scores/codegen__primeintellect/min,critic/scores/codegen__taco/mean,critic/scores/codegen__leetcode2k/max,response_length/codegen__livecodebench/mean,critic/scores/codegen__primeintellect/std,response_length/mean,critic/rewards/mean,response_length/codegen__leetcode2k/min,critic/scores/codegen__primeintellect/max,critic/scores/codegen__livecodebench/std,critic/scores/codegen__taco/max,critic/scores/codegen__leetcode2k/min,response_length/codegen__leetcode2k/mean,critic/rewards/min,critic/scores/codegen__livecodebench/max,critic/scores/codegen__taco/std,critic/scores/codegen__livecodebench/min,response_length/codegen__leetcode2k/clip_ratio,response_length/codegen__taco/max,response_length/min,critic/scores/codegen__leetcode2k/std,response_length/codegen__taco/min,critic/scores/codegen__primeintellect/mean,response_length/clip_ratio,response_length/codegen__primeintellect/clip_ratio,critic/scores/codegen__livecodebench/mean,response_length/max,response_length/codegen__primeintellect/min,response_length/codegen__primeintellect/max,run_id,run_created_at,run_name
1,0,0.0,0.25844594836235046,446.9551086425781,1,24,0.0016891892300918698,467.1274108886719,3199,6013,0,0.1592664122581482,1,530.5999755859375,0.2973564863204956,464.1190185546875,0.1402587890625,1,1,0.2740764915943146,1,0,520.6536865234375,0,1,0.3659684956073761,0,0.0,8192,1,0.4381505846977234,1,0.09799757599830627,0.0009765625,0.0003033980610780418,0.08124999701976776,8192,1,8192,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
2,0,0.0,0.28935185074806213,443.2239074707031,1,3,0.000732421875,483.818359375,3686,8192,0,0.13671875,1,490.0170593261719,0.32814696431159973,466.239013671875,0.1380615234375,1,1,0.30387112498283386,1,0,475.6990661621094,0,1,0.3435921370983124,0,0.002314814832061529,8192,1,0.4539872705936432,1,0.12270642071962357,0.0010986328125,0.0014334862353280187,0.10227272659540176,8192,1,8192,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
3,0,0.0029761905316263437,0.21041665971279144,438.5589599609375,1,4,0.0018939394503831863,510.6866760253906,8192,7162,0,0.12012986838817596,1,476.8333435058594,0.3285941183567047,477.2694091796875,0.124267578125,1,1,0.23695534467697144,1,0,517.0416870117188,0,1,0.3251573443412781,0,0.0,8192,1,0.40802982449531555,1,0.12309782952070236,0.001220703125,0.0005434782360680401,0.0595238097012043,8192,1,8192,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
4,0,0.004807692486792803,0.19140625,445.040283203125,1,92,0.0018078512512147427,487.7226257324219,8192,6439,0,0.13946281373500824,1,513.3798217773438,0.2947845160961151,471.879638671875,0.1212158203125,1,1,0.20395340025424957,1,0,523.921875,0,1,0.3464735746383667,0,0.0,8192,1,0.3937928080558777,1,0.09611111134290695,0.0013427734375,0.0008333333535119891,0.04326923191547394,8192,1,8192,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,0,0.0,0.21052631735801697,426.4313659667969,1,68,0.0012112403055652976,457.89801025390625,2251,5668,0,0.13856589794158936,1,450.734375,0.3335285782814026,450.379638671875,0.13720703125,1,1,0.20034873485565186,1,0,527.7861938476562,0,1,0.3455348014831543,0,0.0,8192,1,0.4080181419849396,1,0.12745098769664764,0.0006103515625,0.0,0.0416666679084301,8192,1,7316,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
6,0,0.0078125,0.2007211595773697,433.2163391113281,1,98,0.00024319066142197698,421.7200927734375,8192,2116,0,0.16439688205718994,1,485.2890625,0.33649834990501404,431.82568359375,0.1534423828125,1,1,0.24301259219646454,1,0,468.3305358886719,0,1,0.37068042159080505,0,0.0,8192,1,0.4007807672023773,3,0.13012820482254028,0.00048828125,0.0006410256610251963,0.0625,8192,1,8192,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
7,0,0.0,0.2326388955116272,417.5462951660156,1,101,0.0008259912137873471,419.87664794921875,1959,1749,0,0.16712555289268494,1,448.09375,0.3363128900527954,424.9638671875,0.1533203125,2,1,0.3169727027416229,1,0,499.8611145019531,0,1,0.37313929200172424,0,0.0,8192,1,0.42288118600845337,1,0.12996861338615417,0.0003662109375,0.0,0.11249999701976776,8192,1,5202,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
8,0,0.0,0.2946428656578064,397.9043273925781,1,76,0.00024224806111305952,393.2763977050781,5633,2278,0,0.19622093439102173,1,486.6041564941406,0.35613420605659485,402.3917236328125,0.1785888671875,113,1,0.26394179463386536,1,0,475.0848083496094,0,1,0.39718571305274963,0,0.0,8192,4,0.45639169216156006,20,0.1489928960800171,0.000244140625,0.00029620854184031487,0.07500000298023224,8192,4,8192,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
9,0,0.0,0.28547295928001404,389.4593811035156,1,1,0.0,369.3575134277344,3274,2771,0,0.19542910158634186,1,425.54376220703125,0.37959256768226624,384.1512451171875,0.192138671875,108,1,0.3091248571872711,1,0,451.8564147949219,0,1,0.3965769112110138,0,0.0,2973,1,0.4520213305950165,44,0.17449238896369934,0.0,0.0,0.10625000298023224,3274,1,2859,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,0,0.0,0.2899305522441864,367.11248779296875,1,91,0.0,350.7300109863281,1266,1330,0,0.23898565769195557,1,326.453125,0.3843366801738739,360.475830078125,0.2144775390625,58,1,0.32556670904159546,1,0,397.3142395019531,0,1,0.42651858925819397,0,0.0,2057,46,0.4541242718696594,46,0.18011364340782166,0.0,0.0,0.1197916641831398,2057,69,1489,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
11,0,0.0,0.40340909361839294,356.90252685546875,1,127,0.0002376425836700946,347.68511962890625,1102,1607,0,0.24263307452201843,1,390.7633972167969,0.4450422525405884,354.4677734375,0.2633056640625,9,1,0.3981861472129822,1,0,378.2215881347656,0,1,0.4287259578704834,0,0.0,8192,9,0.4910467267036438,55,0.2719678282737732,0.0001220703125,0.0,0.1964285671710968,8192,59,5368,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
12,0,0.0,0.43478259444236755,331.8319396972656,1,143,0.0,323.9066467285156,857,945,0,0.25514402985572815,1,352.2946472167969,0.43168720602989197,333.2491455078125,0.2652587890625,96,1,0.35521984100341797,1,0,383.24456787109375,0,1,0.43599823117256165,0,0.0,3531,51,0.49606555700302124,77,0.24760764837265015,0.0,0.0,0.1473214328289032,3531,51,1600,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
13,0,0.0,0.38749998807907104,345.9158935546875,1,125,0.0,329.2827453613281,608,1265,0,0.26750001311302185,1,338.9375,0.4250352680683136,343.51025390625,0.26318359375,82,1,0.41502299904823303,1,0,420.4765625,0,1,0.44271066784858704,0,0.0,1353,57,0.4875604510307312,57,0.23656542599201202,0.0,0.0,0.21875,1353,62,1067,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
14,0,0.0,0.49395161867141724,335.50140380859375,1,2,0.0,318.70025634765625,651,774,0,0.32213541865348816,1,329.0073547363281,0.42154833674430847,329.5035400390625,0.2880859375,123,1,0.3880541920661926,1,0,370.0745849609375,0,1,0.4673554003238678,0,0.0,8039,2,0.5004681944847107,16,0.2310267835855484,0.0,0.0,0.18382352590560913,8039,73,919,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,0,0.0,0.40257352590560913,342.7227783203125,1,113,0.0,315.88824462890625,713,1123,0,0.3286546468734741,1,320.496337890625,0.4482406675815582,334.338134765625,0.307861328125,119,1,0.41540762782096863,1,0,413.8363952636719,0,1,0.4697863459587097,0,0.0,4666,45,0.49086761474609375,45,0.2783333361148834,0.0,0.0,0.22058823704719543,4666,53,1604,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
16,0,0.0,0.3968749940395355,334.3272399902344,1,123,0.0,315.0350036621094,733,1695,0,0.2562499940395355,1,365.08123779296875,0.4601548910140991,330.4249267578125,0.2857666015625,123,1,0.3915378451347351,1,0,397.265625,0,1,0.43661606311798096,0,0.0,1022,45,0.48963233828544617,45,0.3042452931404114,0.0,0.0,0.1875,1695,56,958,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
17,0,0.0,0.4577205777168274,337.59698486328125,1,150,0.0,317.3768615722656,965,969,0,0.3110955059528351,1,380.3671875,0.45182350277900696,330.13623046875,0.3074951171875,116,1,0.3032590448856354,1,0,373.9705810546875,0,1,0.4629959762096405,0,0.0,2123,52,0.49866777658462524,59,0.2857142984867096,0.0,0.0,0.1015625,3529,52,3529,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
18,0,0.0,0.6030405163764954,351.9146728515625,1,80,0.0,319.0675354003906,1021,720,0,0.3418269157409668,1,344.2875061035156,0.4459518790245056,334.7008056640625,0.3314208984375,141,1,0.4339176416397095,1,0,347.6216125488281,0,1,0.47437894344329834,0,0.0,3602,54,0.489681214094162,63,0.2737500071525574,0.0,0.0,0.25,3602,54,1149,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
19,0,0.0,0.5110294222831726,342.5397033691406,1,138,0.0,310.67388916015625,672,1134,0,0.3436284065246582,1,326.2749938964844,0.4661645293235779,328.83837890625,0.3438720703125,109,1,0.462382048368454,1,0,381.8658142089844,0,1,0.47497662901878357,0,0.0,1364,66,0.5003384351730347,69,0.31901657581329346,0.0,0.0,0.3062500059604645,1364,66,1159,thmx9v2l,2025-05-14T03:07:32Z,70449-zhoujun-codegen3k-guru18k-models--Qwen--Qwen2.5-7B-think
