_step,critic/scores/stem_web/std,critic/scores/codegen__taco/min,response_length/codegen__livecodebench/clip_ratio,critic/scores/codegen__leetcode2k/mean,response_length/simulation__barc/min,response_length/math__merged_deduped_dapo_or1_dataset/min,response_length/codegen__primeintellect/mean,critic/scores/stem_web/mean,response_length/simulation__codeio/mean,critic/rewards/max,response_length/codegen__livecodebench/min,critic/scores/table__multihier/mean,response_length/stem_web/max,response_length/codegen__taco/clip_ratio,response_length/math__deepscaler_preview/min,response_length/simulation__arcagi1/mean,response_length/codegen__taco/mean,response_length/codegen__livecodebench/max,response_length/stem_web/clip_ratio,critic/scores/table__hitab/min,critic/scores/simulation__arcagi1/min,response_length/codegen__leetcode2k/max,response_length/math__deepscaler_preview/clip_ratio,critic/scores/table__multihier/max,critic/scores/codegen__primeintellect/min,critic/scores/simulation__arcagi2/max,critic/scores/logic__zebra_puzzle_dataset/min,response_length/logic__zebra_puzzle_dataset/clip_ratio,critic/scores/logic__zebra_puzzle_dataset/std,critic/scores/stem_web/max,response_length/stem_web/mean,response_length/math__merged_deduped_dapo_or1_dataset/mean,critic/scores/math__merged_deduped_dapo_or1_dataset/min,response_length/simulation__arcagi1/min,response_length/table__hitab/mean,critic/scores/math__deepscaler_preview/std,critic/scores/codegen__taco/mean,critic/scores/codegen__leetcode2k/max,response_length/logic__ordering_puzzle_dataset/clip_ratio,response_length/codegen__livecodebench/mean,critic/scores/simulation__barc/min,critic/scores/codegen__primeintellect/std,response_length/simulation__arcagi2/max,response_length/logic__ordering_puzzle_dataset/mean,critic/scores/stem_web/min,response_length/mean,response_length/table__multihier/mean,critic/scores/simulation__barc/mean,response_length/simulation__barc/max,critic/scores/math__merged_deduped_dapo_or1_dataset/max,critic/rewards/mean,critic/scores/math__deepscaler_preview/mean,response_length/logic__graph_logical_dataset/mean,critic/scores/logic__graph_logical_dataset/min,critic/scores/logic__zebra_puzzle_dataset/mean,response_length/codegen__leetcode2k/min,critic/scores/logic__graph_logical_dataset/max,critic/scores/table__multihier/min,critic/scores/codegen__primeintellect/max,response_length/simulation__codeio/clip_ratio,critic/scores/simulation__arcagi2/std,response_length/simulation__arcagi1/max,critic/scores/simulation__barc/std,critic/scores/logic__ordering_puzzle_dataset/std,response_length/logic__zebra_puzzle_dataset/min,critic/scores/codegen__livecodebench/std,response_length/table__hitab/max,response_length/simulation__barc/clip_ratio,critic/scores/codegen__taco/max,critic/scores/codegen__leetcode2k/min,critic/scores/table__hitab/mean,critic/scores/logic__ordering_puzzle_dataset/mean,critic/scores/simulation__codeio/mean,response_length/logic__graph_logical_dataset/clip_ratio,response_length/simulation__barc/mean,response_length/table__multihier/min,response_length/codegen__leetcode2k/mean,response_length/simulation__arcagi2/mean,response_length/simulation__codeio/min,response_length/simulation__codeio/max,critic/rewards/min,response_length/logic__zebra_puzzle_dataset/max,critic/scores/codegen__livecodebench/max,critic/scores/codegen__taco/std,critic/scores/codegen__livecodebench/min,critic/scores/math__deepscaler_preview/min,response_length/simulation__arcagi2/clip_ratio,response_length/codegen__leetcode2k/clip_ratio,response_length/table__multihier/max,critic/scores/simulation__arcagi1/std,response_length/math__merged_deduped_dapo_or1_dataset/clip_ratio,response_length/codegen__taco/max,response_length/min,response_length/logic__ordering_puzzle_dataset/min,critic/scores/codegen__leetcode2k/std,critic/scores/math__merged_deduped_dapo_or1_dataset/std,critic/scores/math__merged_deduped_dapo_or1_dataset/mean,response_length/logic__zebra_puzzle_dataset/mean,critic/scores/table__hitab/std,critic/scores/table__multihier/std,response_length/table__hitab/clip_ratio,response_length/logic__graph_logical_dataset/max,response_length/simulation__arcagi2/min,response_length/simulation__arcagi1/clip_ratio,critic/scores/simulation__arcagi1/max,response_length/codegen__taco/min,critic/scores/simulation__arcagi2/min,response_length/logic__ordering_puzzle_dataset/max,critic/scores/simulation__arcagi2/mean,response_length/stem_web/min,response_length/table__multihier/clip_ratio,critic/scores/simulation__codeio/min,critic/scores/codegen__primeintellect/mean,critic/scores/logic__graph_logical_dataset/std,response_length/math__deepscaler_preview/max,response_length/clip_ratio,response_length/codegen__primeintellect/clip_ratio,critic/scores/logic__ordering_puzzle_dataset/min,response_length/logic__graph_logical_dataset/min,critic/scores/simulation__arcagi1/mean,critic/scores/logic__graph_logical_dataset/mean,response_length/math__merged_deduped_dapo_or1_dataset/max,critic/scores/simulation__codeio/std,critic/scores/math__deepscaler_preview/max,critic/scores/codegen__livecodebench/mean,critic/scores/logic__zebra_puzzle_dataset/max,response_length/max,critic/scores/simulation__codeio/max,response_length/math__deepscaler_preview/mean,critic/scores/simulation__barc/max,critic/scores/table__hitab/max,response_length/table__hitab/min,critic/scores/logic__ordering_puzzle_dataset/max,response_length/codegen__primeintellect/min,response_length/codegen__primeintellect/max,run_id,run_created_at,run_name
1,0.18763820827007294,0,0.0,0.4124999940395355,1,1,439.6649169921875,0.03651685267686844,423.4097900390625,1,83,0.2633928656578064,8192,0.0033783784601837397,10,936.96875,541.6553955078125,3934,0.003511236049234867,0,0,1788,0.0024038462433964014,1,0,0,0.0,0.0,0.09568976610898972,1,882.8834228515625,720.0238037109375,0,59,354.7490539550781,0.28844764828681946,0.10135135054588318,1,0.004166666883975267,452.3125,0,0.2917339503765106,1517,561.527099609375,0,573.50244140625,372.3660583496094,0.00657894741743803,7843,1,0.11347676068544388,0.09134615212678909,292.2102355957031,0,0.02262398786842823,36,1,0,1,0.0014204545877873898,0.0,8192,0.08097675442695618,0.17969277501106262,3,0.3087092638015747,8192,0.0,1,0,0.3295454680919647,0.03333333507180214,0.13991476595401764,0.0,620.8289184570312,1,425.76251220703125,660.59375,3,8192,0,6219,1,0.30204862356185913,0,0,0.0,0,5934,0.0,0.003968254197388887,8192,1,5,0.4953901469707489,0.2291751354932785,0.0555555559694767,583.9821166992188,0.4702708423137665,0.44146019220352173,0.0037878789007663727,2862,202,0.03125,0,1,0,8192,0.0,4,0.0,0,0.09375,0.10629534721374512,8192,0.0025634765625,0.0,0,2,0.0,0.011363636702299118,8192,0.34702184796333313,1,0.1041666641831398,1.0,8192,1,659.1898803710938,1,1,26,1,7,2092,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
2,0.19989348948001862,0,0.0,0.2232142835855484,1,2,463.2163391113281,0.0416666679084301,461.5645751953125,1,387,0.2232142835855484,8192,0.0018939394503831863,56,1131.0,552.2783813476562,701,0.002016128972172737,0,0,2321,0.009765625,1,0,0,0.0,0.0,0.0844297781586647,1,860.986572265625,775.9874877929688,0,61,325.46539306640625,0.25260838866233826,0.039772726595401764,1,0.005434782709926367,519.75,0,0.2951570749282837,8192,557.8722534179688,0,590.78369140625,398.16070556640625,0.01171875,8192,1,0.11199232935905457,0.068359375,361.86029052734375,0,0.013442037627100945,1,1,0,1,0.0020833334419876337,0.0,3056,0.1078278198838234,0.28997179865837097,4,0.0,8192,0.00390625,1,0,0.3173076808452606,0.09239130467176437,0.1284722238779068,0.0,636.56640625,9,466.8928527832031,740.5625,1,8192,0,5236,0,0.1956101357936859,0,0,0.015625,0,8192,0.0,0.0072916666977107525,8192,1,10,0.41827231645584106,0.24029430747032166,0.06145833432674408,612.015625,0.4656522572040558,0.41686636209487915,0.000961538462433964,7662,10,0.0,0,1,0,8192,0.0,1,0.004464285913854837,0,0.09615384787321091,0.26148462295532227,8192,0.003173828125,0.0,0,6,0.0,0.07352941483259201,8192,0.3347311019897461,1,0.0,0.75,8192,1,777.98828125,1,1,1,1,4,3020,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
4,0.1998957395553589,0,0.0,0.26875001192092896,4,2,429.10626220703125,0.0416666679084301,417.76251220703125,1,6,0.2520161271095276,8192,0.0024999999441206455,18,956.90625,482.4750061035156,1292,0.0020833334419876337,0,0,3005,0.010416666977107525,1,0,0,0.0,0.004807692486792803,0.04973522573709488,1,844.7965087890625,690.362060546875,0,1,370.28125,0.23270227015018463,0.1525000035762787,1,0.0,499.75,0,0.26878848671913147,5766,524.203125,0,558.8262939453125,387.19354248046875,0.007352941203862429,3362,1,0.1259402334690094,0.0572916679084301,366.6381530761719,0,0.00818452425301075,48,1,0,1,0.0007812500116415322,0.0,3547,0.08559093624353409,0.15636946260929108,2,0.33601075410842896,8192,0.0,1,0,0.3098958432674408,0.02500000037252903,0.17031249403953552,0.0,535.6764526367188,1,487.01251220703125,746.875,15,8192,0,8192,1,0.3597297668457031,0,0,0.0,0,8192,0.0,0.0021551724057644606,8192,1,1,0.44470152258872986,0.17115375399589539,0.03017241321504116,678.9326782226562,0.4626512825489044,0.4346088171005249,0.0034722222480922937,5570,159,0.0,0,4,0,5817,0.0,3,0.006048386916518211,0,0.078125,0.2236650586128235,8192,0.00244140625,0.0,0,9,0.0,0.05263157933950424,8192,0.3760540187358856,1,0.125,0.4444444477558136,8192,1,795.9375,1,1,4,1,2,3741,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
8,0.2460966557264328,0,0.0,0.2589285671710968,10,34,401.41619873046875,0.06470588594675064,362.6055603027344,1,246,0.3174999952316284,8192,0.0,82,1366.25,397.069091796875,729,0.000735294132027775,0,0,877,0.0,1,0,0,0.0,0.0,0.0748247355222702,1,698.3279418945312,607.1805419921875,0,203,232.31491088867188,0.2608700394630432,0.24013157188892365,1,0.0,410.375,0,0.38944754004478455,1591,376.875,0,455.3096923828125,315.1050109863281,0.007352941203862429,8192,1,0.1677272915840149,0.0732758641242981,283.5416564941406,0,0.019336393103003502,152,1,0,1,0.0013888889225199819,0.0,8192,0.08559093624353409,0.2604522407054901,67,0.0,3545,0.0036764706019312143,1,0,0.34214743971824646,0.0729166641831398,0.20694445073604584,0.0,626.3492431640625,1,414.6428527832031,614.8125,33,8192,0,1796,0,0.427514910697937,0,0,0.0,0,4312,0.0,0.0,3195,1,28,0.4400150775909424,0.25903546810150146,0.07222222536802292,585.5528564453125,0.4746188521385193,0.466086745262146,0.0,6434,170,0.0625,0,74,0,2501,0.0,10,0.0,0,0.18607954680919647,0.2225818634033203,5260,0.0006103515625,0.0,0,12,0.0,0.0520833320915699,5208,0.40525609254837036,1,0.0,0.5,8192,1,633.887939453125,1,1,33,1,4,1436,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
9,0.2306153029203415,0,0.0,0.1666666716337204,2,43,388.49493408203125,0.05631868168711662,371.72747802734375,1,243,0.3090277910232544,8192,0.0,87,465.75,415.7516784667969,846,0.0006868132040835917,0,0,900,0.0,1,0,0,0.0,0.0,0.11935048550367355,1,698.3461303710938,603.571044921875,0,140,227.5625,0.2846112847328186,0.17398647964000702,1,0.0,447.09375,0,0.34215694665908813,3150,422.0446472167969,0,477.5068359375,260.3263854980469,0.0069444444961845875,7298,1,0.13680826127529144,0.08870967477560043,306.253662109375,0,0.03638828918337822,250,1,0,1,0.0014534883666783571,0.0,1894,0.0831880271434784,0.20174959301948547,2,0.0,3432,0.0,1,0,0.39406779408454895,0.0424107126891613,0.16497093439102173,0.0,509.3645935058594,87,500.6458435058594,845.9375,5,8192,0,3118,0,0.3794184625148773,0,0,0.0,0,1657,0.0,0.0,3187,2,2,0.3766217827796936,0.2707163989543915,0.07954545319080353,595.7666625976562,0.4889085590839386,0.4628969728946686,0.0,4053,107,0.0,0,53,0,4020,0.0,4,0.0,0,0.13513512909412384,0.08559093624353409,7253,0.0003662109375,0.0,0,15,0.0,0.007352941203862429,6038,0.3712892532348633,1,0.0,0.75,8192,1,668.7822875976562,1,1,36,1,75,1439,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
10,0.21366412937641144,0,0.0,0.46875,13,86,383.9854736328125,0.04791666567325592,311.88916015625,1,13,0.34687501192092896,6187,0.0,58,791.5833129882812,355.83795166015625,1256,0.0,0,0,1171,0.0,1,0,0,0.0,0.0,0.14677418768405914,1,738.3333129882812,606.2158813476562,0,129,242.50430297851562,0.30031299591064453,0.2152777761220932,1,0.0020833334419876337,554.3333129882812,0,0.39175647497177124,1559,370.09375,0,468.3123779296875,291.95001220703125,0.03963414579629898,6046,1,0.1684713214635849,0.10000000149011612,295.73126220703125,0,0.0551447831094265,90,1,0,1,0.0,0.0,2033,0.19524700939655304,0.3512020707130432,81,0.3087092638015747,8192,0.0,1,0,0.42025861144065857,0.14374999701976776,0.22583332657814026,0.0,505.94818115234375,64,385.9937438964844,671.4375,40,2636,0,1525,1,0.4114914536476135,0,0,0.0,0,8192,0.14433756470680237,0.0,3684,4,7,0.5005892515182495,0.28969642519950867,0.09232954680919647,551.6171875,0.49386653304100037,0.47672101855278015,0.0021551724057644606,4726,78,0.0,1,68,0,8192,0.0,35,0.0031250000465661287,0,0.1889534890651703,0.19772908091545105,7154,0.00048828125,0.0,0,25,0.02083333395421505,0.04062499850988388,6900,0.4183042645454407,1,0.1041666641831398,0.6666666865348816,8192,1,713.6583251953125,1,1,34,1,4,2250,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
11,0.24214372038841248,0,0.0,0.5,4,60,381.3011474609375,0.0625,346.3394775390625,1,87,0.23369565606117249,8192,0.0,117,482.5,333.7403869628906,1318,0.0006793478387407959,0,0,1026,0.0,1,0,0,0.0,0.0,0.1774197667837143,1,711.5455322265625,628.7999877929688,0,108,168.9204559326172,0.3030737340450287,0.3205128312110901,1,0.0,345.5416564941406,0,0.3951687812805176,2590,359.78570556640625,0,441.98681640625,273.9565124511719,0.0028409091755747795,2925,1,0.18878088891506195,0.10208333283662796,216.875,0,0.06967789679765701,154,1,0,1,0.0006578947650268674,0.0,1170,0.05330017954111099,0.3278014659881592,46,0.3087092638015747,4088,0.0,1,0,0.5407196879386902,0.122023805975914,0.16381579637527466,0.0,485.3863525390625,60,425.8374938964844,868.9375,41,8192,0,1558,1,0.46704810857772827,0,0,0.0,0,3113,0.1767766922712326,0.0012499999720603228,1184,4,39,0.5031545758247375,0.275297075510025,0.08250000327825546,525.6634521484375,0.49857527017593384,0.4237569570541382,0.0,2785,249,0.0,1,46,0,3503,0.0,36,0.0,0,0.1931818127632141,0.31755712628364563,3065,0.0003662109375,0.0,0,25,0.03125,0.11328125,8192,0.37023013830184937,1,0.1041666641831398,1.0,8192,1,634.597900390625,1,1,28,1,80,1686,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
13,0.25323712825775146,0,0.0,0.40625,113,59,365.7803039550781,0.06882022321224213,341.3374938964844,1,221,0.3375000059604645,8163,0.0,99,414.25,362.4883728027344,1159,0.0,0,0,932,0.0,1,0,1,0.0,0.0625,0.1870460957288742,1,765.141845703125,656.360107421875,0,75,177.24160766601562,0.32465723156929016,0.22238372266292572,1,0.0,504.5625,0,0.42895597219467163,1265,382.4825134277344,0,489.8848876953125,244.27915954589844,0.0052083334885537624,8192,1,0.18539758026599884,0.1194852963089943,274.0714416503906,0,0.11735614389181137,127,1,0,1,0.0007812500116415322,0.24462302029132843,1059,0.0720745101571083,0.2233123779296875,13,0.24462302029132843,6960,0.0026041667442768812,1,0,0.5046641826629639,0.05249999836087227,0.19687500596046448,0.0,606.8463745117188,88,408.6328125,453.0,17,8192,0,8192,1,0.41615012288093567,0,0,0.0,0,3422,0.0,0.0,1554,13,36,0.4930621087551117,0.2909323573112488,0.0932539701461792,1095.206298828125,0.5002115964889526,0.4738452136516571,0.0,5731,79,0.0,0,87,0,1667,0.0625,84,0.0,0,0.24242424964904785,0.1743823140859604,6556,0.00146484375,0.0,0,32,0.0,0.03125,6452,0.3977924883365631,1,0.0625,0.6666666865348816,8192,1,746.97607421875,1,1,36,1,63,975,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
14,0.28452467918395996,0,0.0,0.25,111,91,361.0807800292969,0.08877840638160706,357.7071838378906,1,120,0.37268519401550293,5437,0.0012254902394488454,101,595.1875,363.73162841796875,560,0.0,0,0,791,0.0,1,0,0,0.0,0.0,0.19336897134780884,1,753.1328125,665.6239624023438,0,292,185.55262756347656,0.3288704752922058,0.21568627655506134,1,0.0,349.8125,0,0.42512059211730957,2280,310.9672546386719,0,470.052001953125,239.46759033203125,0.0416666679084301,2626,1,0.1932336390018463,0.12310606241226196,224.09584045410156,0,0.1695082187652588,54,1,0,1,0.0017123287543654442,0.0,1189,0.2001243382692337,0.3345615267753601,85,0.3689020276069641,8072,0.0,1,0,0.47587719559669495,0.127976194024086,0.23030821979045868,0.0,544.0595092773438,62,411.609375,796.625,38,8192,0,2313,1,0.411549836397171,0,0,0.0,0,1686,0.0,0.0,8192,2,27,0.4364357888698578,0.24402916431427002,0.06352458894252777,619.8973388671875,0.49969178438186646,0.48407992720603943,0.0,3432,117,0.0,0,93,0,883,0.0,36,0.0,0,0.23628048598766327,0.2769629955291748,5875,0.0003662109375,0.0,0,34,0.0,0.0833333358168602,5718,0.4212104380130768,1,0.15625,0.800000011920929,8192,1,665.2064208984375,1,1,2,1,80,1000,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
15,0.2833048403263092,0,0.0,0.4444444477558136,78,106,331.5643310546875,0.08793604373931885,328.0053405761719,1,190,0.4702380895614624,8192,0.0,121,368.875,330.3480224609375,603,0.0007267441833391786,0,0,1527,0.0024038462433964014,1,0,0,0.0,0.0029761905316263437,0.1771513670682907,1,793.939697265625,729.7315673828125,0,116,163.615234375,0.2984261214733124,0.27840909361839294,1,0.0,411.46875,0,0.41869160532951355,915,382.0041809082031,0,471.8758544921875,236.6279754638672,0.059659089893102646,3853,1,0.23012760281562805,0.09855769574642181,280.39373779296875,0,0.15537314116954803,192,1,0,1,0.0,0.0,683,0.237191304564476,0.37345683574676514,104,0.24593469500541687,4854,0.0,1,0,0.466796875,0.1666666716337204,0.3346036672592163,0.0,493.9034118652344,37,437.8888854980469,342.125,5,4170,0,8192,1,0.4485345482826233,0,0,0.0,0,1710,0.0,0.0010245901066809893,1583,5,56,0.498638391494751,0.33319878578186035,0.12704917788505554,673.6190185546875,0.4991401135921478,0.4998578429222107,0.0,7855,51,0.0,0,67,0,799,0.0,30,0.0,0,0.22610294818878174,0.2736465632915497,8192,0.00048828125,0.0,0,40,0.0,0.08124999701976776,8192,0.4720316529273987,1,0.0625,0.7222222089767456,8192,1,685.0528564453125,1,1,32,1,97,802,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
