_step,response_length/math__merged_deduped_dapo_or1_dataset/min,critic/rewards/max,response_length/math__deepscaler_preview/min,response_length/math__deepscaler_preview/clip_ratio,response_length/math__merged_deduped_dapo_or1_dataset/mean,critic/scores/math__merged_deduped_dapo_or1_dataset/min,critic/scores/math__deepscaler_preview/std,response_length/mean,critic/scores/math__merged_deduped_dapo_or1_dataset/max,critic/rewards/mean,critic/scores/math__deepscaler_preview/mean,critic/rewards/min,critic/scores/math__deepscaler_preview/min,response_length/math__merged_deduped_dapo_or1_dataset/clip_ratio,response_length/min,critic/scores/math__merged_deduped_dapo_or1_dataset/std,critic/scores/math__merged_deduped_dapo_or1_dataset/mean,response_length/math__deepscaler_preview/max,response_length/clip_ratio,response_length/math__merged_deduped_dapo_or1_dataset/max,critic/scores/math__deepscaler_preview/max,response_length/max,response_length/math__deepscaler_preview/mean,run_id,run_created_at,run_name
1,2,1,2,0.0016339869471266866,706.846435546875,0,0.26761847734451294,716.7828369140625,1,0.05908203125,0.07761438190937042,0,0,0.003481894265860319,2,0.22039173543453217,0.05118384584784508,8192,0.0029296875,8192,1,8192,740.09765625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
2,1,1,1,0.002768987324088812,726.0243530273438,0,0.270585834980011,726.6610107421875,1,0.061767578125,0.07950949668884277,0,0,0.0037076270673424006,1,0.22573915123939514,0.05384887009859085,8192,0.00341796875,8192,1,8192,728.08740234375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
3,1,1,2,0.0019409938249737024,727.4252319335938,0,0.26015642285346985,721.4361572265625,1,0.0635986328125,0.07298136502504349,0,0,0.0021367522422224283,1,0.23619678616523743,0.05929487198591232,8192,0.0020751953125,8192,1,8192,708.3792724609375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
4,2,1,2,0.004378980956971645,695.5404663085938,0,0.26700809597969055,707.00146484375,1,0.06201171875,0.07722929865121841,0,0,0.002816901309415698,2,0.22854939103126526,0.05528169125318527,8192,0.0032958984375,8192,1,8192,732.9163818359375,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,1,1,1,0.0028248587623238564,702.6376953125,0,0.2585896849632263,705.479248046875,1,0.0531005859375,0.07203389704227448,0,0,0.00317164184525609,1,0.2030944526195526,0.04309701547026634,8192,0.0030517578125,8192,1,8192,710.8573608398438,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
6,1,1,2,0.0017458100337535143,680.7173461914062,0,0.2787016034126282,673.9388427734375,1,0.06396484375,0.0848463699221611,0,0,0.0026276276912540197,1,0.223535418510437,0.05274023860692978,8192,0.0023193359375,8192,1,8192,661.3285522460938,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
7,1,1,4,0.0019054878503084183,647.8976440429688,0,0.306356281042099,642.6221923828125,1,0.0733642578125,0.10480182617902756,0,0,0.0008979885024018586,1,0.23479945957660675,0.05854884907603264,8192,0.001220703125,8192,1,8192,631.427978515625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
8,1,1,1,0.002216312102973461,685.5062255859375,0,0.2955204248428345,681.6326904296875,1,0.076416015625,0.09663120657205582,0,0,0.002190026920288801,1,0.25302112102508545,0.06873315572738647,8192,0.002197265625,8192,1,8192,671.4406127929688,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
9,1,1,2,0.0003881987649947405,657.6337280273438,0,0.2901795208454132,660.0411376953125,1,0.080078125,0.0927795022726059,0,0,0.0014245014172047377,1,0.262204110622406,0.07425213605165482,8192,0.0010986328125,8192,1,8192,665.2896118164062,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,2,1,4,0.0010533707682043314,666.3231811523438,0,0.31369611620903015,673.298828125,1,0.1021728515625,0.1106039360165596,0,0,0.0009356287191621959,2,0.29690879583358765,0.09767963737249374,8192,0.0009765625,8192,1,8192,686.3880004882812,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
11,2,1,2,0.0014880952658131719,658.1884155273438,0,0.3496120572090149,668.576171875,1,0.101318359375,0.142485111951828,0,0,0.0003633720916695893,2,0.2731877863407135,0.08121366053819656,8192,0.000732421875,8192,1,8192,689.8463745117188,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
12,13,1,18,0.0003612716682255268,682.6757202148438,0,0.3563550114631653,682.9796142578125,1,0.117431640625,0.14920520782470703,0,0,0.0011061946861445904,13,0.30164340138435364,0.10121681541204453,8192,0.0008544921875,8192,1,8192,683.5751342773438,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
13,2,1,4,0.0,669.6366577148438,0,0.3312862515449524,674.5953369140625,1,0.1041259765625,0.12543706595897675,0,0,0.00016937669715844095,2,0.29443398118019104,0.09586720913648605,5357,0.0001220703125,8192,1,8192,687.3907470703125,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
14,2,1,50,0.00034340660204179585,701.2822265625,0,0.3795616328716278,679.602783203125,1,0.14306640625,0.17445054650306702,0,0,0.00018939393339678645,2,0.3316073417663574,0.12575757503509521,8192,0.000244140625,8192,1,8192,640.2939453125,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,2,1,64,0.0003396739193703979,698.186767578125,0,0.3842753469944,711.1746826171875,1,0.142333984375,0.18002717196941376,0,0,0.0003810975467786193,2,0.3263779282569885,0.12118902802467346,8192,0.0003662109375,8192,1,8192,734.3270874023438,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
16,4,1,110,0.00038580247201025486,723.34716796875,0,0.37684035301208496,724.98193359375,1,0.1494140625,0.17129629850387573,0,0,0.0005357142654247582,4,0.34627535939216614,0.13928571343421936,8192,0.00048828125,8192,1,8192,728.513916015625,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
