_step,critic/scores/table__hitab/max,critic/rewards/min,response_length/table__hitab/min,critic/scores/table__multihier/min,critic/scores/table__hitab/min,response_length/min,critic/scores/table__multihier/max,critic/scores/table__multihier/std,critic/rewards/max,response_length/max,response_length/table__hitab/max,response_length/table__multihier/mean,response_length/table__multihier/max,response_length/clip_ratio,critic/scores/table__multihier/mean,critic/rewards/mean,response_length/table__multihier/clip_ratio,response_length/table__hitab/clip_ratio,critic/scores/table__hitab/mean,response_length/table__hitab/mean,response_length/table__multihier/min,critic/scores/table__hitab/std,response_length/mean,run_id,run_created_at,run_name
1,1,0,1,0,0,1,1,0.42963579297065735,1,8192,8192,357.8428955078125,8192,0.0023193359375,0.2440878450870514,0.27880859375,0.0016891892300918698,0.002575549529865384,0.2929258346557617,355.3183288574219,1,0.4551437795162201,356.048095703125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
2,1,0,1,0,0,1,1,0.4300359785556793,1,8192,8192,364.3330383300781,8192,0.001953125,0.24475523829460144,0.2864990234375,0.0013111887965351343,0.0022018970921635628,0.30267614126205444,362.9590148925781,1,0.4594551622867584,363.3427734375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
3,1,0,1,0,0,1,1,0.4073510468006134,1,8192,8192,354.0882568359375,8192,0.001708984375,0.2099236696958542,0.27294921875,0.0014312977436929941,0.0018044619355350733,0.2946194112300873,344.2381896972656,1,0.4559088945388794,346.7584228515625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
4,1,0,1,0,0,1,1,0.4119383692741394,1,8192,8192,351.10162353515625,8192,0.0025634765625,0.21646341681480408,0.29833984375,0.0015243901871144772,0.002892030868679285,0.32422879338264465,341.4328308105469,4,0.46812358498573303,343.755615234375,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,1,0,1,0,0,1,1,0.45836368203163147,1,8192,8192,324.2638854980469,8192,0.0010986328125,0.30000001192092896,0.3367919921875,0.0009259259095415473,0.0011604774044826627,0.3499668538570404,319.36041259765625,1,0.4769987165927887,320.6533203125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
6,1,0,1,0,0,1,1,0.4360176920890808,1,8192,8192,334.71697998046875,8192,0.0013427734375,0.25508129596710205,0.3594970703125,0.0010162601247429848,0.0014460154343396425,0.39251285791397095,276.10699462890625,1,0.4883490800857544,290.1871337890625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
7,1,0,1,0,0,1,1,0.4451560080051422,1,8192,8192,310.2100830078125,8192,0.000732421875,0.2721153795719147,0.3819580078125,0.000961538462433964,0.000654450268484652,0.41933900117874146,247.13514709472656,1,0.4934912919998169,263.1502685546875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
8,1,0,1,0,0,1,1,0.46745166182518005,1,8192,8192,291.93902587890625,8192,0.0013427734375,0.3222336173057556,0.4398193359375,0.0015368852764368057,0.0012820513220503926,0.47660255432128906,223.7501678466797,14,0.4994922876358032,239.998291015625,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
9,1,0,1,0,0,1,1,0.4735676050186157,1,8192,5550,295.92303466796875,8192,0.000244140625,0.3392857015132904,0.46826171875,0.0008503401186317205,0.0,0.5202054977416992,201.6102752685547,5,0.49963435530662537,228.6883544921875,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,1,0,23,0,0,2,1,0.4872509837150574,1,8192,8192,271.586181640625,3896,0.000244140625,0.38731059432029724,0.4954833984375,0.0,0.0003289473825134337,0.5330592393875122,189.18191528320312,2,0.4989469349384308,210.4267578125,et5mnxhr,2025-05-14T10:41:24Z,71136-zhoujun-table3k-guru18k-models--Qwen--Qwen2.5-7B-think
