_step,critic/scores/stem_web/std,critic/scores/stem_web/mean,critic/rewards/max,response_length/stem_web/max,response_length/stem_web/clip_ratio,critic/scores/stem_web/max,response_length/stem_web/mean,critic/scores/stem_web/min,response_length/mean,critic/rewards/mean,critic/rewards/min,response_length/min,response_length/stem_web/min,response_length/clip_ratio,response_length/max,run_id,run_created_at,run_name
1,0.17854014039039612,0.032958984375,1,8192,0.0020751953125,1,842.2294921875,0,842.2294921875,0.032958984375,0,1,1,0.0020751953125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
2,0.18356843292713165,0.034912109375,1,8192,0.0023193359375,1,844.4810791015625,0,844.4810791015625,0.034912109375,0,1,1,0.0023193359375,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
3,0.18541358411312103,0.03564453125,1,8192,0.0023193359375,1,837.694091796875,0,837.694091796875,0.03564453125,0,1,1,0.0023193359375,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
4,0.18201425671577454,0.0343017578125,1,8192,0.0032958984375,1,847.59619140625,0,847.59619140625,0.0343017578125,0,1,1,0.0032958984375,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,0.18963812291622162,0.037353515625,1,8192,0.00341796875,1,832.3448486328125,0,832.3448486328125,0.037353515625,0,1,1,0.00341796875,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
6,0.1872376799583435,0.036376953125,1,8192,0.001708984375,1,828.17041015625,0,828.17041015625,0.036376953125,0,1,1,0.001708984375,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
7,0.216286763548851,0.0491943359375,1,8192,0.001953125,1,808.9036865234375,0,808.9036865234375,0.0491943359375,0,1,1,0.001953125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
8,0.22449088096618652,0.05322265625,1,8192,0.0015869140625,1,824.1060791015625,0,824.1060791015625,0.05322265625,0,1,1,0.0015869140625,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
9,0.2504883110523224,0.0672607421875,1,8192,0.0015869140625,1,841.535400390625,0,841.535400390625,0.0672607421875,0,1,1,0.0015869140625,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,0.28597521781921387,0.08984375,1,8192,0.0008544921875,1,851.302001953125,0,851.302001953125,0.08984375,0,47,47,0.0008544921875,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
11,0.2914983928203583,0.09375,1,8192,0.0001220703125,1,870.701904296875,0,870.701904296875,0.09375,0,1,1,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
12,0.3059166371822357,0.1044921875,1,8192,0.00048828125,1,906.79638671875,0,906.79638671875,0.1044921875,0,2,2,0.00048828125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
13,0.3263978362083435,0.1212158203125,1,8192,0.0003662109375,1,896.697998046875,0,896.697998046875,0.1212158203125,0,12,12,0.0003662109375,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
14,0.3414939045906067,0.134765625,1,8192,0.000244140625,1,945.659912109375,0,945.659912109375,0.134765625,0,6,6,0.000244140625,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,0.34524160623550415,0.1383056640625,1,8192,0.0006103515625,1,946.4630126953125,0,946.4630126953125,0.1383056640625,0,5,5,0.0006103515625,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
16,0.34853675961494446,0.1414794921875,1,8192,0.000244140625,1,973.6270751953125,0,973.6270751953125,0.1414794921875,0,1,1,0.000244140625,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
17,0.3644956648349762,0.15771484375,1,8192,0.000244140625,1,964.93603515625,0,964.93603515625,0.15771484375,0,46,46,0.000244140625,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
18,0.3900426924228668,0.1871337890625,1,8192,0.000244140625,1,968.2373046875,0,968.2373046875,0.1871337890625,0,1,1,0.000244140625,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
19,0.3954295814037323,0.1939697265625,1,8192,0.0001220703125,1,989.8045654296875,0,989.8045654296875,0.1939697265625,0,13,13,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
20,0.401626855134964,0.2021484375,1,7740,0.0,1,988.87451171875,0,988.87451171875,0.2021484375,0,9,9,0.0,7740,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
21,0.40625807642936707,0.20849609375,1,8192,0.0001220703125,1,977.1715087890625,0,977.1715087890625,0.20849609375,0,9,9,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
22,0.4002622663974762,0.2003173828125,1,8192,0.0001220703125,1,1001.28759765625,0,1001.28759765625,0.2003173828125,0,13,13,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
23,0.4164610505104065,0.2232666015625,1,8192,0.000244140625,1,1027.02392578125,0,1027.02392578125,0.2232666015625,0,18,18,0.000244140625,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
24,0.4326861500740051,0.2493896484375,1,8192,0.0001220703125,1,1019.7171630859375,0,1019.7171630859375,0.2493896484375,0,172,172,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,0.43018290400505066,0.2451171875,1,7737,0.0,1,1028.299560546875,0,1028.299560546875,0.2451171875,0,1,1,0.0,7737,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
26,0.4393320679664612,0.26123046875,1,5155,0.0,1,1032.410400390625,0,1032.410400390625,0.26123046875,0,7,7,0.0,5155,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
27,0.4468608498573303,0.275634765625,1,7547,0.0,1,1023.2484130859375,0,1023.2484130859375,0.275634765625,0,175,175,0.0,7547,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
28,0.445252925157547,0.2724609375,1,4173,0.0,1,1035.1907958984375,0,1035.1907958984375,0.2724609375,0,7,7,0.0,4173,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
29,0.45941686630249023,0.3026123046875,1,5929,0.0,1,1036.213623046875,0,1036.213623046875,0.3026123046875,0,11,11,0.0,5929,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
30,0.4471057057380676,0.276123046875,1,6835,0.0,1,1034.212890625,0,1034.212890625,0.276123046875,0,47,47,0.0,6835,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
31,0.4606647193431854,0.3055419921875,1,7581,0.0,1,1060.568603515625,0,1060.568603515625,0.3055419921875,0,105,105,0.0,7581,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
32,0.465868204832077,0.318359375,1,4420,0.0,1,1016.150390625,0,1016.150390625,0.318359375,0,215,215,0.0,4420,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
33,0.4662478268146515,0.3193359375,1,4226,0.0,1,1064.1097412109375,0,1064.1097412109375,0.3193359375,0,177,177,0.0,4226,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
34,0.46704673767089844,0.3214111328125,1,8192,0.0001220703125,1,1049.17724609375,0,1049.17724609375,0.3214111328125,0,59,59,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
35,0.46906551718711853,0.3267822265625,1,4283,0.0,1,1066.142822265625,0,1066.142822265625,0.3267822265625,0,113,113,0.0,4283,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
36,0.46610572934150696,0.3189697265625,1,6283,0.0,1,1037.07666015625,0,1037.07666015625,0.3189697265625,0,117,117,0.0,6283,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
37,0.4695592522621155,0.328125,1,8192,0.0001220703125,1,1072.1151123046875,0,1072.1151123046875,0.328125,0,122,122,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
38,0.4822688400745392,0.367919921875,1,8192,0.0001220703125,1,1081.3238525390625,0,1081.3238525390625,0.367919921875,0,85,85,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
39,0.4809742569923401,0.36328125,1,5391,0.0,1,1069.122314453125,0,1069.122314453125,0.36328125,0,133,133,0.0,5391,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
40,0.48499158024787903,0.3782958984375,1,8192,0.0001220703125,1,1049.9034423828125,0,1049.9034423828125,0.3782958984375,0,69,69,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
41,0.48499158024787903,0.3782958984375,1,8192,0.0001220703125,1,1059.0771484375,0,1059.0771484375,0.3782958984375,0,91,91,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
42,0.48794761300086975,0.3907470703125,1,4592,0.0,1,1057.212158203125,0,1057.212158203125,0.3907470703125,0,115,115,0.0,4592,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
43,0.48770028352737427,0.3896484375,1,8192,0.0001220703125,1,1076.34423828125,0,1076.34423828125,0.3896484375,0,113,113,0.0001220703125,8192,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
44,0.4940614700317383,0.4229736328125,1,6278,0.0,1,1089.98876953125,0,1089.98876953125,0.4229736328125,0,103,103,0.0,6278,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
45,0.4938696026802063,0.4217529296875,1,6937,0.0,1,1061.6202392578125,0,1061.6202392578125,0.4217529296875,0,46,46,0.0,6937,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
46,0.48953017592430115,0.3980712890625,1,6326,0.0,1,1060.7877197265625,0,1060.7877197265625,0.3980712890625,0,64,64,0.0,6326,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
47,0.49246108531951904,0.413330078125,1,5761,0.0,1,1061.951904296875,0,1061.951904296875,0.413330078125,0,67,67,0.0,5761,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
48,0.4949570894241333,0.428955078125,1,5430,0.0,1,1066.1719970703125,0,1066.1719970703125,0.428955078125,0,57,57,0.0,5430,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
