_step,response_length/simulation__codeio/mean,critic/rewards/max,response_length/mean,critic/rewards/mean,response_length/simulation__codeio/clip_ratio,critic/scores/simulation__codeio/mean,response_length/simulation__codeio/min,response_length/simulation__codeio/max,critic/rewards/min,response_length/min,critic/scores/simulation__codeio/min,response_length/clip_ratio,critic/scores/simulation__codeio/std,response_length/max,critic/scores/simulation__codeio/max,run_id,run_created_at,run_name
1,429.480224609375,1,429.480224609375,0.1412353515625,0.0018310546875,0.1412353515625,1,8192,0,1,0,0.0018310546875,0.34828540682792664,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
2,431.0921630859375,1,431.0921630859375,0.146728515625,0.0013427734375,0.146728515625,1,8192,0,1,0,0.0013427734375,0.3538566827774048,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
3,439.2034912109375,1,439.2034912109375,0.16015625,0.002197265625,0.16015625,1,8192,0,1,0,0.002197265625,0.3667732775211334,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
4,440.3714599609375,1,440.3714599609375,0.14404296875,0.001953125,0.14404296875,1,8192,0,1,0,0.001953125,0.35115474462509155,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,419.9072265625,1,419.9072265625,0.1531982421875,0.001953125,0.1531982421875,1,8192,0,1,0,0.001953125,0.3602004647254944,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
6,402.405517578125,1,402.405517578125,0.1624755859375,0.0010986328125,0.1624755859375,1,8192,0,1,0,0.0010986328125,0.3689090311527252,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
7,409.3184814453125,1,409.3184814453125,0.1953125,0.0008544921875,0.1953125,1,8192,0,1,0,0.0008544921875,0.3964652717113495,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
8,386.987548828125,1,386.987548828125,0.20556640625,0.0010986328125,0.20556640625,2,8192,0,2,0,0.0010986328125,0.40413957834243774,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
9,395.7476806640625,1,395.7476806640625,0.221923828125,0.0010986328125,0.221923828125,1,8192,0,1,0,0.0010986328125,0.415565550327301,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,365.6375732421875,1,365.6375732421875,0.2491455078125,0.0003662109375,0.2491455078125,4,8192,0,4,0,0.0003662109375,0.43254464864730835,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
11,375.230712890625,1,375.230712890625,0.269775390625,0.0008544921875,0.269775390625,7,8192,0,7,0,0.0008544921875,0.4438701272010803,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
12,378.1011962890625,1,378.1011962890625,0.285888671875,0.0008544921875,0.285888671875,1,8192,0,1,0,0.0008544921875,0.45186421275138855,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
13,381.335205078125,1,381.335205078125,0.2568359375,0.0003662109375,0.2568359375,23,8192,0,23,0,0.0003662109375,0.4369148015975952,8192,1,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
